How old are you?,Which of the following best describes your gender identity?,Do you consider yourself a member of the LGBT+ community?,On what continent do you reside?,"Using only its 3- to 4-letter abbreviation, what timezone are you in?",What is your highest level of education?,"Are you currently pursuing an education, either part- or full-time?",Which of the following best describes your current employment status?,"In an average week, on how many days do you watch anime, read manga, doujin or light novels, or play visual novels?",Have you ever suffered from social anxiety?,Which of the following do you consume? Check all that apply. ,How do you typically access anime?,"Have you ever held a paid subscription to an anime-focused streaming service such as VRV, Crunchyroll, or Funimation?","When you watch anime, do you prefer subs or dubs?","When choosing an anime, manga, LN, or VN, how important do you weigh visual qualities such as style, character design, and backgrounds?","When choosing an anime, manga, or LN, how important do you weigh storytelling qualities such as dialogue, character development, and conflict?","When choosing an anime, manga, or LN, how important do you weigh character relatability?",What genre do you most enjoy the most?,What genre do you most enjoy second-most?,Have you ever considered subscribing to a VTuber?,"Have you ever watched/read an anime, manga, doujin, LN, or VN, and felt the characters or story were cheapened through over-sexualization?","In the last month, have you consumed an H [adult] anime, manga, doujin, light, or a visual novel?","Do you think anime, manga, or the like could benefit from the better representation of certain social groups?","Were there more stories available for older, more mature audiences, would you consider reading or watching them?"
18 - 25,Man,No,North America,EST,High School Diploma / GED,Yes,Part-time worker,5,Yes,Anime,Other sources,No,Subs,6,8,7,Action,Supernatural / Magic,No,Yes,No,Yes,Yes
18 - 25,Woman,Yes,Europe,UTC+1,Bachelor's,Yes,Unemployed,7,Yes,Anime;Manga;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,8,8,Fantasy / Issekai,Romance / Drama,No,Yes,No,Yes,Yes
17 or under,Woman,Yes,Asia,IST,Some high school,Yes,Unemployed,6,No,Anime;Manga,Other sources,No,Dubs,7,9,5,Tragedy / Psychological,Romance / Drama,Yes,Yes,Yes,Maybe,Yes
17 or under,Man,No,North America,PST,Some high school,Yes,Unemployed,7,Yes,Anime;Manga,Other sources,No,Subs,5,10,8,"Comedy, including Slice-of-Life",Action,No,Yes,No,Maybe,Yes
18 - 25,Man,No,Australia,AEDT,Bachelor's,Yes,Unemployed,3,No,Anime;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Dubs,2,9,8,Fantasy / Issekai,"Sci-Fi, including Military and Mecha",No,Yes,Yes,No,Yes
17 or under,Man,No,North America,EST,High School Diploma / GED,Yes,Unemployed,4,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,4,9,8,Tragedy / Psychological,"Sci-Fi, including Military and Mecha",No,Yes,No,Maybe,Yes
34 - 41,Man,No,North America,pst,High School Diploma / GED,No,Unemployed,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,6,8,5,"Comedy, including Slice-of-Life",Action,No,Maybe,Yes,Maybe,Yes
18 - 25,Man,No,Asia,CST,Bachelor's,Yes,Unemployed,3,Yes,Anime;Manga;Light Novels;Visual Novels,Other sources,Yes,Subs,5,10,3,Tragedy / Psychological,"Comedy, including Slice-of-Life",Yes,Yes,Yes,No,Yes
18 - 25,Man,No,Europe,UTC+1,Bachelor's,No,Full-time,6,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,7,2,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,South America,UTC-3,High School Diploma / GED,No,Unemployed,5,,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,9,8,7,Action,"Comedy, including Slice-of-Life",No,Yes,No,Maybe,Yes
18 - 25,Man,No,North America,EST,High School Diploma / GED,No,Full-time,7,No,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,10,10,10,Romance / Drama,"Sci-Fi, including Military and Mecha",No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,PST,High School Diploma / GED,Yes,Unemployed,7,No,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,4,8,5,Action,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Europe,UTC,Master's,No,Full-time,7,Yes,Anime;Manga;Visual Novels,"Personal copies, such as DVDs, Blu-Rays, or season purchases",Yes,Subs,6,10,7,Romance / Drama,"Comedy, including Slice-of-Life",No,Yes,No,Maybe,Yes
26 - 33,Man,No,Europe,UTC+1,Master's,No,Full-time,5,Yes,Anime;Manga;Light Novels;Visual Novels,Other sources,No,Subs,6,8,1,Fantasy / Issekai,"Comedy, including Slice-of-Life",No,Yes,Yes,Yes,Yes
18 - 25,Man,No,Europe,cet,High School Diploma / GED,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,8,7,6,Tragedy / Psychological,Action,No,Maybe,Yes,No,Yes
26 - 33,Woman,No,Europe,EET,Bachelor's,Yes,Full-time,6,Yes,Anime;Manga,Other sources,Yes,Subs,4,8,6,Romance / Drama,"Comedy, including Slice-of-Life",Yes,Maybe,Yes,Maybe,Yes
18 - 25,Man,Yes,Europe,,Trade / Vocational School,No,Unemployed,4,Yes,Anime;Manga,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,8,8,8,Fantasy / Issekai,Action,No,Yes,Yes,Yes,Yes
26 - 33,Man,No,Europe,UTC,Bachelor's,No,Full-time,7,Yes,Anime;Manga,Other sources,No,Subs,3,7,4,Action,"Sci-Fi, including Military and Mecha",No,Yes,No,Maybe,Yes
18 - 25,Man,No,Europe,CET,Master's,Yes,Unemployed,3,Yes,Anime;Manga;Light Novels,Other sources,No,Subs,7,6,2,Action,"Comedy, including Slice-of-Life",No,Yes,Yes,Maybe,Yes
17 or under,Man,No,Europe,UTC,Some high school,Yes,Unemployed,4,Yes,Anime,Other sources,No,Subs,4,7,5,Romance / Drama,"Comedy, including Slice-of-Life",No,Maybe,No,No,Yes
34 - 41,Agender,No,North America,AKST,Associate's,No,Full-time,7,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,8,5,3,"Comedy, including Slice-of-Life",Fantasy / Issekai,No,No,Yes,Yes,No
18 - 25,Man,No,North America,cst,Bachelor's,No,Part-time worker,5,Yes,Anime;Manga;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,6,10,4,Tragedy / Psychological,"Comedy, including Slice-of-Life",No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,MST,Bachelor's,Yes,Part-time worker,4,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,10,5,Action,Tragedy / Psychological,Yes,Yes,No,Maybe,Yes
26 - 33,Man,No,Europe,CET,Master's,Yes,Part-time worker,4,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,9,7,4,"Comedy, including Slice-of-Life",Fantasy / Issekai,No,Yes,Yes,Yes,Yes
18 - 25,Woman,No,Europe,UTC+2,Bachelor's,No,Part-time worker,4,Yes,Anime;Manga;Doujinshi;Visual Novels,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,9,9,6,Romance / Drama,Fantasy / Issekai,No,Yes,Yes,Maybe,Yes
26 - 33,Man,No,Europe,UTC,Bachelor's,No,Full-time,1,Yes,Anime;Light Novels,Other sources,No,Subs,6,10,8,Action,Romance / Drama,No,Maybe,No,Maybe,Yes
18 - 25,Man,No,Asia,Gst,High School Diploma / GED,Yes,Unemployed,2,Yes,Anime;Manga;Doujinshi;Light Novels,Other sources,Yes,Subs,7,10,4,Fantasy / Issekai,Romance / Drama,Yes,No,Yes,Yes,Yes
26 - 33,Woman,No,Europe,EST,High School Diploma / GED,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,6,9,8,Action,Romance / Drama,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,MST,High School Diploma / GED,Yes,Full-time,7,Yes,Anime;Manga;Doujinshi,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,8,9,2,Action,Fantasy / Issekai,No,No,Yes,Maybe,Yes
18 - 25,Woman,Yes,North America,CST,Bachelor's,No,Full-time,2,Yes,Anime,Other sources,No,Subs,6,9,9,Supernatural / Magic,Action,No,Yes,No,Maybe,Yes
18 - 25,Man,No,Australia,AEDT,Bachelor's,Yes,Unemployed,4,No,Anime;Manga;Light Novels,Other sources,No,Subs,8,10,7,"Sci-Fi, including Military and Mecha",Tragedy / Psychological,No,Yes,No,Yes,Yes
18 - 25,Man,No,Europe,EST,Master's,Yes,Part-time worker,6,Yes,Anime,Other sources,No,Subs,7,8,6,Romance / Drama,Tragedy / Psychological,No,Yes,No,Maybe,Yes
18 - 25,Man,No,Australia,ACDT,High School Diploma / GED,Yes,Unemployed,3,No,Anime;Manga,Other sources,No,Subs,7,8,6,Romance / Drama,Romance / Drama,No,Yes,No,Maybe,Yes
17 or under,Woman,No,Asia,,Some high school,Yes,Unemployed,3,Yes,Anime;Manga,Other sources,No,Subs,4,8,5,Supernatural / Magic,Action,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,Asia,IST,Bachelor's,Yes,Unemployed,5,Yes,Anime;Manga;Doujinshi;Visual Novels,Other sources,No,Subs,8,9,6,Tragedy / Psychological,"Comedy, including Slice-of-Life",No,Yes,Yes,Yes,Yes
18 - 25,Man,No,Europe,CET,Bachelor's,No,Full-time,7,No,Anime;Manga;Doujinshi,Other sources,No,Subs,7,10,5,"Comedy, including Slice-of-Life",Action,No,Yes,Yes,Maybe,Yes
26 - 33,Woman,Yes,Europe,GMT,Master's,No,Unemployed,6,Yes,Anime;Manga;Doujinshi;Visual Novels,Other sources,Yes,Subs,6,9,9,"Comedy, including Slice-of-Life",Action,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,est,High School Diploma / GED,Yes,Unemployed,4,Yes,Anime;Manga;Doujinshi,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Dubs,10,9,5,Action,Romance / Drama,No,Yes,Yes,Yes,Yes
34 - 41,Man,No,Asia,,Bachelor's,No,Unemployed,1,Yes,Anime;Manga,Other sources,No,Subs,8,10,8,"Sci-Fi, including Military and Mecha","Comedy, including Slice-of-Life",No,Maybe,Yes,Maybe,Yes
18 - 25,Otherwise Nonbinary,Yes,Europe,Cet,Bachelor's,Yes,Part-time worker,7,Yes,Anime;Manga;Light Novels;Visual Novels,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Dubs,9,10,9,Tragedy / Psychological,Action,Yes,Yes,Yes,Yes,Yes
26 - 33,Man,No,North America,Pst,Bachelor's,No,Full-time,3,No,Anime,Other sources,No,Subs,10,2,7,"Comedy, including Slice-of-Life",Fantasy / Issekai,Yes,No,Yes,Maybe,No
18 - 25,Man,Yes,North America,CST,Associate's,Yes,Unemployed,7,Yes,Anime;Manga;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,8,6,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,Europe,CET,Bachelor's,Yes,,2,Yes,Anime,Other sources,No,Subs,9,8,4,Action,Supernatural / Magic,No,Yes,No,No,Yes
18 - 25,Man,No,Europe,CET,Bachelor's,Yes,Unemployed,3,Yes,Anime;Manga,Other sources,No,Subs,6,9,7,Action,Romance / Drama,No,Yes,No,No,Yes
18 - 25,Man,No,North America,HST,Bachelor's,No,Unemployed,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,5,9,3,"Comedy, including Slice-of-Life","Sci-Fi, including Military and Mecha",Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,PST,High School Diploma / GED,No,Unemployed,7,Yes,Anime;Manga,Other sources,Yes,Subs,7,10,4,Action,Romance / Drama,No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Europe,CET,High School Diploma / GED,Yes,Unemployed,7,Yes,Anime;Manga;Visual Novels,Other sources,No,Subs,8,9,8,Romance / Drama,Supernatural / Magic,No,Yes,No,Yes,Yes
18 - 25,Fluid or Multigender,No,Europe,CET,High School Diploma / GED,Yes,Unemployed,7,No,Anime;Manga;Visual Novels,Other sources,Yes,Subs,3,9,2,Romance / Drama,Action,Yes,Yes,No,Maybe,Yes
17 or under,Man,Yes,Asia,,Some high school,No,Unemployed,4,Yes,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,7,8,7,"Comedy, including Slice-of-Life",Fantasy / Issekai,No,Maybe,Yes,Maybe,Yes
18 - 25,Man,No,Europe,UTC+1,Some high school,No,Unemployed,3,No,Anime;Visual Novels,Other sources,No,Subs,4,8,2,Action,Fantasy / Issekai,No,Maybe,Yes,Maybe,Yes
26 - 33,Man,No,North America,UTC-5,Associate's,No,Full-time,4,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,10,4,Fantasy / Issekai,Supernatural / Magic,Yes,Yes,Yes,Maybe,Yes
26 - 33,Woman,No,Europe,EET,Master's,No,Full-time,7,No,Anime;Manga;Doujinshi,Other sources,No,Subs,3,8,6,Tragedy / Psychological,Action,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,Est,High School Diploma / GED,Yes,Unemployed,6,Yes,Anime;Manga;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,8,6,Fantasy / Issekai,Action,Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,Yes,North America,EST,Associate's,No,Part-time worker,4,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,9,10,8,Tragedy / Psychological,Action,No,Maybe,No,Yes,Yes
18 - 25,Man,No,North America,CST,High School Diploma / GED,No,Unemployed,3,No,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,4,Action,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Yes,Yes
17 or under,Man,No,Australia,AEST,Some high school,Yes,Unemployed,7,Yes,Anime;Manga;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,5,10,7,Romance / Drama,Fantasy / Issekai,No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Europe,GMT,High School Diploma / GED,Yes,Part-time worker,6,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,5,6,9,Romance / Drama,Tragedy / Psychological,Yes,No,Yes,Maybe,No
18 - 25,Man,No,North America,est,High School Diploma / GED,No,Unemployed,2,Yes,Anime;Manga,Other sources,No,Subs,8,10,5,Action,"Sci-Fi, including Military and Mecha",No,Yes,Yes,Yes,Yes
34 - 41,Man,No,North America,,Bachelor's,No,Full-time,5,No,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,9,3,Action,"Sci-Fi, including Military and Mecha",No,Yes,Yes,Yes,Yes
18 - 25,Man,No,Europe,UTC+2,High School Diploma / GED,Yes,Unemployed,3,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,6,8,0,Action,"Comedy, including Slice-of-Life",Yes,No,Yes,No,Yes
26 - 33,Man,No,Europe,CET,High School Diploma / GED,Yes,Unemployed,3,No,Anime;Manga;Visual Novels,Other sources,No,Subs,7,10,3,Tragedy / Psychological,Action,No,No,No,Maybe,Yes
18 - 25,Man,No,Europe,CET,High School Diploma / GED,Yes,Unemployed,5,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,3,8,8,Tragedy / Psychological,"Comedy, including Slice-of-Life",Yes,Maybe,Yes,Maybe,Yes
18 - 25,Man,No,Asia,CST,High School Diploma / GED,Yes,Unemployed,7,No,Anime;Manga;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,7,5,8,"Comedy, including Slice-of-Life",Fantasy / Issekai,No,No,No,Yes,No
18 - 25,Man,Yes,Europe,UTC,Some high school,Yes,Unemployed,4,Yes,Anime;Manga,Other sources,No,Subs,6,7,8,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,No,Yes,Yes
18 - 25,Man,No,Asia,UTC+4,High School Diploma / GED,No,Full-time,7,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,7,9,6,Tragedy / Psychological,Romance / Drama,No,Maybe,Yes,Yes,Yes
18 - 25,Man,No,North America,EST,High School Diploma / GED,Yes,Part-time worker,2,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,6,9,5,Action,"Sci-Fi, including Military and Mecha",No,Maybe,Yes,Maybe,Yes
26 - 33,Woman,Yes,North America,EST,Bachelor's,No,Full-time,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,6,9,7,Romance / Drama,Fantasy / Issekai,No,Yes,No,Yes,Yes
18 - 25,Man,No,North America,PST,High School Diploma / GED,Yes,Unemployed,5,Yes,Anime;Manga;Doujinshi;Visual Novels,Other sources,No,Subs,8,8,7,"Comedy, including Slice-of-Life",Fantasy / Issekai,Yes,Maybe,Yes,Maybe,Yes
26 - 33,Man,No,Europe,UTC+1,Bachelor's,No,Part-time worker,6,No,Anime;Doujinshi,Other sources,No,Subs,4,8,2,Tragedy / Psychological,Action,No,No,Yes,No,Yes
18 - 25,Man,No,North America,Est,High School Diploma / GED,No,Unemployed,7,Yes,Anime;Manga;Doujinshi,Other sources,Yes,Subs,9,9,6,Romance / Drama,"Comedy, including Slice-of-Life",No,Yes,Yes,Maybe,Yes
17 or under,Man,No,Europe,,Some high school,Yes,Unemployed,2,Yes,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,7,5,Action,Fantasy / Issekai,No,Yes,Yes,No,Yes
17 or under,Man,Yes,Europe,CET,Some high school,Yes,Unemployed,7,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,7,7,8,Fantasy / Issekai,Romance / Drama,No,Maybe,No,Yes,Yes
26 - 33,Man,No,North America,pst,Bachelor's,No,Unemployed,3,No,Anime;Manga,Other sources,No,Subs,8,10,0,Fantasy / Issekai,Action,No,No,Yes,Maybe,Yes
17 or under,Man,No,Europe,Gmt,Some high school,Yes,Unemployed,5,Yes,Anime,Other sources,No,Dubs,10,9,7,Action,"Sci-Fi, including Military and Mecha",No,Yes,No,Yes,No
17 or under,Man,No,Asia,IST,Some high school,Yes,Unemployed,7,Yes,Anime;Manga,Other sources,No,Subs,6,9,5,Tragedy / Psychological,Romance / Drama,No,Maybe,Yes,No,Yes
17 or under,Man,No,Asia,UTC+5:30,Some high school,Yes,Unemployed,6,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,2,10,7,Tragedy / Psychological,"Sci-Fi, including Military and Mecha",Yes,Maybe,Yes,Maybe,Yes
18 - 25,Man,No,North America,PDT,Bachelor's,Yes,Part-time worker,7,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,8,8,6,Romance / Drama,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Yes,Yes
26 - 33,Man,No,North America,Cst,Bachelor's,No,Full-time,5,No,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,9,8,8,Action,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,EST,High School Diploma / GED,No,Unemployed,2,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,5,"Comedy, including Slice-of-Life",Supernatural / Magic,Yes,Yes,Yes,Maybe,Yes
42 - 49,Man,No,Europe,EEST,High School Diploma / GED,No,Unemployed,7,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,6,9,4,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,Yes,Maybe,Yes
26 - 33,Man,No,North America,est,Bachelor's,No,Full-time,3,No,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,3,9,5,Action,Romance / Drama,No,Yes,No,No,Yes
18 - 25,Woman,No,Europe,cet,Some high school,No,Unemployed,5,No,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,7,8,8,Action,"Comedy, including Slice-of-Life",No,Yes,No,Yes,Yes
18 - 25,Man,No,North America,EST,Associate's,Yes,Unemployed,3,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,5,10,1,Tragedy / Psychological,Supernatural / Magic,Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Europe,CET,High School Diploma / GED,Yes,Part-time worker,7,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,6,8,3,Tragedy / Psychological,Supernatural / Magic,Yes,Maybe,Yes,Yes,Yes
18 - 25,Man,No,Europe,GMT,Bachelor's,Yes,Unemployed,7,No,Anime,Other sources,No,Subs,7,10,4,Action,Romance / Drama,No,Yes,No,No,No
18 - 25,Man,No,Asia,AST,High School Diploma / GED,Yes,Unemployed,6,No,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,7,8,3,Action,Supernatural / Magic,Yes,Yes,Yes,No,Yes
17 or under,Man,Yes,Europe,GMT,High School Diploma / GED,Yes,,6,Yes,Anime;Manga,Other sources,Yes,Subs,8,8,6,,Supernatural / Magic,No,Yes,No,Yes,Yes
26 - 33,Man,No,Europe,CET,Bachelor's,Yes,Unemployed,4,No,Anime;Manga;Doujinshi;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,8,6,"Comedy, including Slice-of-Life",Romance / Drama,Yes,Maybe,Yes,Maybe,Yes
18 - 25,Man,No,Asia,IST,Bachelor's,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,5,7,3,Tragedy / Psychological,"Comedy, including Slice-of-Life",Yes,No,Yes,Maybe,Yes
26 - 33,Man,Yes,South America,UTC-3,Trade / Vocational School,No,Full-time,7,Yes,Anime;Manga;Doujinshi;Light Novels,Other sources,No,Subs,8,10,6,"Comedy, including Slice-of-Life",Romance / Drama,Yes,Yes,Yes,Maybe,Yes
18 - 25,Woman,No,North America,,Bachelor's,Yes,Part-time worker,5,Yes,Anime;Manga,Other sources,No,Subs,9,7,5,Supernatural / Magic,Romance / Drama,No,Yes,No,Yes,Yes
17 or under,Man,No,Australia,ACDT,Some high school,Yes,Unemployed,6,Yes,Anime;Manga,Other sources,No,Subs,8,10,2,Fantasy / Issekai,Romance / Drama,Yes,Yes,No,Yes,Yes
18 - 25,Man,No,Europe,CET,High School Diploma / GED,Yes,Unemployed,2,Yes,Anime;Manga,Other sources,No,Subs,6,10,3,Action,Fantasy / Issekai,No,Yes,Yes,Maybe,Yes
17 or under,Man,No,Asia,Ist,Some high school,Yes,Unemployed,6,Yes,Anime;Manga;Doujinshi;Visual Novels,Other sources,No,Subs,8,8,6,Supernatural / Magic,Romance / Drama,Yes,Yes,Yes,Yes,Yes
18 - 25,Man,Yes,Europe,CEST,Bachelor's,Yes,Unemployed,5,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,9,6,"Comedy, including Slice-of-Life",Fantasy / Issekai,No,Yes,No,Maybe,Yes
26 - 33,Man,No,North America,PST,Bachelor's,No,Full-time,7,Yes,Anime;Manga,Other sources,Yes,Subs,6,9,6,Supernatural / Magic,"Comedy, including Slice-of-Life",No,Yes,No,Maybe,Yes
26 - 33,Man,No,North America,ET,Bachelor's,No,Part-time worker,4,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,10,5,Tragedy / Psychological,Romance / Drama,Yes,No,Yes,No,Yes
18 - 25,Man,No,Europe,cet,High School Diploma / GED,No,Unemployed,2,Yes,Anime;Manga;Doujinshi,Other sources,Yes,Subs,8,6,4,"Comedy, including Slice-of-Life",Romance / Drama,Yes,Maybe,Yes,Maybe,Yes
42 - 49,Man,No,North America,CST,Bachelor's,No,Full-time,4,No,Anime;Manga;Light Novels,Other sources,Yes,Dubs,5,7,8,Romance / Drama,"Comedy, including Slice-of-Life",No,Yes,No,Yes,Yes
17 or under,Man,No,North America,EST,,Yes,Unemployed,4,No,Anime;Manga,Other sources,No,Subs,8,6,4,"Comedy, including Slice-of-Life",Romance / Drama,Yes,Maybe,Yes,Maybe,No
17 or under,Man,No,Europe,GMT,Some high school,Yes,Unemployed,7,No,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,9,7,Tragedy / Psychological,Fantasy / Issekai,Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,Mtn,High School Diploma / GED,Yes,Unemployed,5,No,Anime;Manga;Doujinshi;Visual Novels,Other sources,No,Subs,7,10,2,"Sci-Fi, including Military and Mecha",Tragedy / Psychological,No,Yes,Yes,No,Yes
17 or under,Man,No,Asia,UTC+7,Some high school,No,Unemployed,4,Yes,Anime;Manga;Light Novels,Other sources,No,Subs,8,8,7,Fantasy / Issekai,"Comedy, including Slice-of-Life",Yes,Maybe,Yes,Maybe,Yes
17 or under,Man,No,North America,EST,Some high school,Yes,Unemployed,5,No,Anime,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Dubs,6,10,3,Action,Tragedy / Psychological,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,Europe,MEZ,High School Diploma / GED,Yes,Full-time,4,Yes,Anime;Manga;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,10,1,"Sci-Fi, including Military and Mecha",Supernatural / Magic,No,Yes,No,Maybe,Yes
18 - 25,Man,No,South America,UTC+3,High School Diploma / GED,Yes,Unemployed,7,No,Anime;Manga,Other sources,No,Subs,7,5,6,"Comedy, including Slice-of-Life",,Yes,No,No,No,Yes
34 - 41,Man,No,North America,PT,Bachelor's,No,Full-time,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,9,8,Supernatural / Magic,Action,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,Asia,UTC+5,Bachelor's,Yes,Part-time worker,7,Yes,Anime;Manga;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,8,10,5,Tragedy / Psychological,"Sci-Fi, including Military and Mecha",No,Yes,No,Maybe,Yes
34 - 41,Man,No,North America,Est,Bachelor's,No,Full-time,5,No,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,6,9,4,Fantasy / Issekai,"Sci-Fi, including Military and Mecha",No,No,No,Maybe,Yes
18 - 25,Man,No,North America,Cst,High School Diploma / GED,Yes,,4,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,6,9,9,Action,Tragedy / Psychological,No,Yes,No,Yes,Yes
17 or under,Man,No,North America,UTC-5,High School Diploma / GED,Yes,Unemployed,6,No,Anime;Manga,Other sources,No,Subs,6,8,3,Action,"Sci-Fi, including Military and Mecha",Yes,Yes,No,Yes,Yes
